source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Regina Sierra,,"Obrigada, Cristiano Ronaldo e Família um Natal de abençoado 🎄",,,,,,,,,
زبير غدير,,If you commente like that i will punniche you?,,,,,,,,,
Nahim Kayani,,All time 🐐  Made in Manchester,,,,,,,,,
Justus Kipsang,,Manchester material,,,,,,,,,
Doni Broqi,,made in Sporting Lissabon*,,,,,,,,,
Jímmy Gätës Çūccittiní,,And duplicated by Madrid,,,,,,,,,
Luis Amaral,,But born in SPORTING CLUBE DE PORTUGAL,,,,,,,,,
Ivone Cristina Pereira,,"Em português, desejo vos um Santo e Feliz Natal, com muita saúde, paz e amor! E que sejas sempre o nosso melhor do mundo, podem haver outros...mas...para nós, portugueses tu serás sempre o ""nosso' melhor do mundo!! Beijinhos 😊🎄🎄",,,,,,,,,
Mini Segurola,,,,,,,,,,,
Khoa Hoang,,Ivone Cristina Pereira,,,,,,,,,
António E Silva,,"Feliz Natal Cristiano Ronaldo, venha pra Angola visitar um povo pobre que muito te ama, sabes bem o que é ser pobre e ainda assim és fraterno, venha que aqui também estás em casa!",,,,,,,,,
Luís Legoinha,,"António E Silva muito bom comentário, amigo, feliz Natal e um bom ano novo.",,,,,,,,,
Eidmilson Dollar Xnobia,,voce e bue borro yha,,,,,,,,,
António E Silva,,Eidmilson Dollar Xnobia borro é em italiano? Porque até agora só vejo voçê como...,,,,,,,,,
António E Silva,,,,,,,,,,,
Katia Lisandra Diniz,,😂😂😂😂😂😂😂,,,,,,,,,
António E Silva,, bom 2019,,,,,,,,,
Katia Lisandra Diniz,,"Muito obrigada , votos retribuídos.",,,,,,,,,
زبير غدير,,منيتك ولا ظن ريتك 🙊,,,,,,,,,
Benamar Bouchentouf,,There is no god just ALLAH ☝🏻  Jesus and Mohammed and Adem.. are prophets ❤,,,,,,,,,
,,,,,,,,,,,
Zelman Samuel,,Benamar Bouchentouf zakir nalahik. Nalahik means stupid in urdu language,,,,,,,,,
Anabela Deep,,Omorodion Lawrence you can't argue with me 😊because i don't waste my time with this things i know what i believe 😊I'm always me and don't like arguments ☺👍👍,,,,,,,,,
