source,date,text,reactions,likes,ahah,love,wow,sigh,grrr,comments,url
Donald J. Trump,2019-01-20,"I made a pledge to Angel Families, and to all Americans, to fix our broken immigration system. I will not stop fighting until our borders are safe and secure!  Tell Nancy you want the wall: https://bit.ly/2FLsmdN",51119,44275,523,5881,77,171,192,4655,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001548097201%3A04611686018427387904%3A09223372036854775778%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-19,"There is no question that we have a tremendous humanitarian and security crisis at our southern border. Every day that Democrats refuse to fund the border security measures that they supported in the past, the crisis gets worse!",18136,15270,470,2057,53,113,173,3779,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-18,I have a great idea that will give Chuck and Nancy no choice but to listen to the American people: Send a BRICK straight to their offices and remind them WE NEED THE WALL!,129283,86709,27.994,13.350,465,107,658,16.119,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-19,We have a country that is being invaded by criminals and drugs and we're going to STOP IT.,30600,25917,651,3523,178,87,244,5106,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-19,WATCH LIVE as President Trump Delivers Remarks on the Humanitarian Crisis on Our Southern Border and the Shutdown,19288,14678,407,4022,34,23,124,3832,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-20,"""As a mother who lost her child at the hands of failed immigration policies, I know just how important border security is to American families.” - Marie Vega, Angel Mom",37232,25570,173,2189,129,8711,460,3969,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547990280%3A04611686018427387904%3A09223372036854775773%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-18,"Our goal is simple: to ensure that we can DETECT and DESTROY any missile launched against the United States—anywhere, anytime, anyplace.",25803,21661,365,3579,62,14,122,3011,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-17,"Without a strong border, America is defenseless, vulnerable, and unprotected. We need STRONG borders!",37470,31340,644,5214,33,19,220,5035,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-18,"President Donald J. Trump’s schedule for Friday, January 18th: · Meeting with Secretary of the Treasury",14697,12414,489,1662,36,6,90,2570,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-18,"Hopefully, Democrat lawmakers will step forward to do what is RIGHT for our country—and what is right is border security at the STRONGEST level.",29820,25196,612,3657,66,52,237,4668,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-18,"I will never, EVER back down.",112279,88560,1652,21.620,127,30,290,10.106,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547838015%3A04611686018427387904%3A09223372036854775768%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-16,"We must have border security – not for political purposes, but for our COUNTRY and for the SAFETY of our communities.",47330,39714,682,6657,57,25,195,6559,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-17,"President Donald J. Trump’s schedule for Thursday, January 17th: · Missile Defense Review Announcement",13145,11121,398,1515,34,9,68,2223,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-17,"If we don’t defend our borders, then we cease to be a nation.",74479,62581,1282,10.328,86,33,169,6137,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-17,Watch Live: President Trump Participates in the Missile Defense Review Announcement,10152,8253,208,1573,27,10,81,1150,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
Donald J. Trump,2019-01-17,Dear Madame Speaker...,576532,363477,74.068,135.757,2124,171,935,64.492,https://mbasic.facebook.com/DonaldTrump?sectionLoadingID=m_timeline_loading_div_1549007999_0_36_timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&unit_cursor=timeline_unit%3A1%3A00000000001547758560%3A04611686018427387904%3A09223372036854775763%3A04611686018427387904&timeend=1549007999&timestart=0&tm=AQBhYVqeYFQ_iXaC&refid=17
